================================================================================
Summary of training process:
Dataset                : UCI_HAR
Batch size             : 32
Learing rate           : 0.001
Number of total clients: 150
Split method           : distribution
Split parameter        : 0.1
Clients per round      : 15
Number of global rounds: 100
Number of local rounds : 5
Feature from layer     : 1
Feature percentage     : 0.1
Is interplolated       : False
Local training loss    : MCE_DeC_KL
Loss of beta           : 1.0
Algorithm              : FLea
Modelname              : HARNet
Mode                   : training
Seed                   : 0
================================================================================
Dataset: UCI_HAR
training: 7352 testing: 2947
Here
Pre-splits: [   0    1    2 ... 3673 3674 3675]
[   0    1    2 ... 3673 3674 3675]
[4 4 4 ... 3 3 3]
Pre-splits: [3676 3677 3678 ... 7349 7350 7351]
[3676 3677 3678 ... 7349 7350 7351]
[3 3 3 ... 1 1 1]
Done
Class frequencies:
client,class0,class1,class2,class3,class4,class5,Amount
Client  36,0.00,0.389,0.333,0.00,0.278,0.00,36
Client  37,1.000,0.00,0.00,0.00,0.00,0.00,51
Client  38,1.000,0.00,0.00,0.00,0.00,0.00,58
Client  39,0.250,0.00,0.250,0.00,0.500,0.00,4
Client  40,0.889,0.00,0.00,0.00,0.111,0.00,9
Client  41,1.000,0.00,0.00,0.00,0.00,0.00,200
Client  42,0.00,0.00,0.955,0.045,0.00,0.00,22
Client  43,0.00,0.276,0.069,0.00,0.00,0.655,29
Client  44,0.00,0.00,0.00,0.00,0.062,0.938,48
Client  45,0.050,0.00,0.950,0.00,0.00,0.00,40
Client  46,0.069,0.138,0.00,0.310,0.483,0.00,29
Client  47,0.038,0.00,0.00,0.00,0.00,0.962,52
Client  48,1.000,0.00,0.00,0.00,0.00,0.00,8
Client  49,0.00,0.00,1.000,0.00,0.00,0.00,9
Client  50,0.00,0.750,0.00,0.00,0.250,0.00,4
Client  51,0.288,0.00,0.219,0.00,0.493,0.00,73
Client  52,0.00,1.000,0.00,0.00,0.00,0.00,138
Client  53,0.00,0.00,0.00,0.315,0.222,0.463,54
Client  54,0.00,0.200,0.600,0.200,0.00,0.00,5
Client  55,0.00,0.171,0.00,0.224,0.00,0.605,76
Client  56,0.415,0.024,0.00,0.00,0.439,0.122,41
Client  57,1.000,0.00,0.00,0.00,0.00,0.00,50
Client  58,0.00,0.00,0.125,0.562,0.00,0.312,16
Client  59,0.00,0.00,0.00,0.344,0.00,0.656,61
Client  60,0.00,0.00,0.00,0.00,0.00,1.000,108
Client  61,0.019,0.00,0.981,0.00,0.00,0.00,104
Client  62,0.006,0.086,0.00,0.023,0.886,0.00,175
Client  63,0.00,0.00,0.971,0.029,0.00,0.00,34
Client  64,0.00,1.000,0.00,0.00,0.00,0.00,63
Client  65,0.00,0.00,0.00,0.007,0.118,0.876,153
Client  66,0.00,0.00,0.571,0.00,0.102,0.327,49
Client  67,0.00,0.800,0.00,0.00,0.200,0.00,20
Client  68,0.00,0.00,0.00,1.000,0.00,0.00,9
Client  69,0.00,1.000,0.00,0.00,0.00,0.00,8
Client  70,0.00,0.132,0.00,0.868,0.00,0.00,38
Client  71,0.00,1.000,0.00,0.00,0.00,0.00,17
Client  72,0.346,0.00,0.00,0.577,0.038,0.038,26
Client  73,0.169,0.00,0.831,0.00,0.00,0.00,71
Client  74,0.014,0.014,0.973,0.00,0.00,0.00,73
Client  75,0.00,0.750,0.00,0.250,0.00,0.00,4
Client  76,0.00,0.00,0.00,0.00,0.00,1.000,295
Client  77,0.00,0.889,0.00,0.111,0.00,0.00,9
Client  78,0.00,0.00,0.00,0.00,0.00,1.000,7
Client  79,0.583,0.00,0.417,0.00,0.00,0.00,84
Client  80,0.193,0.035,0.193,0.00,0.00,0.579,57
Client  81,0.790,0.210,0.00,0.00,0.00,0.00,62
Client  82,0.750,0.00,0.250,0.00,0.00,0.00,4
Client  83,0.787,0.00,0.021,0.021,0.149,0.021,47
Client  84,0.00,0.826,0.174,0.00,0.00,0.00,23
Client  85,0.00,0.00,0.176,0.00,0.059,0.765,17
Client  86,0.00,0.092,0.00,0.015,0.00,0.892,65
Client  87,0.024,0.024,0.00,0.024,0.00,0.927,41
Client  88,0.088,0.00,0.00,0.824,0.088,0.00,34
Client  89,0.00,0.154,0.00,0.538,0.192,0.115,26
Client  90,0.00,0.00,0.235,0.765,0.00,0.00,34
Client  91,0.00,0.133,0.00,0.767,0.033,0.067,30
Client  92,0.013,0.00,0.988,0.00,0.00,0.00,80
Client  93,0.00,0.00,0.167,0.00,0.833,0.00,6
Client  94,0.400,0.00,0.400,0.200,0.00,0.00,5
Client  95,0.00,0.00,0.909,0.00,0.091,0.00,11
Client  96,0.023,0.930,0.00,0.00,0.047,0.00,43
Client  97,1.000,0.00,0.00,0.00,0.00,0.00,113
Client  98,0.686,0.314,0.00,0.00,0.00,0.00,51
Client  99,0.00,0.200,0.250,0.00,0.00,0.550,20
Client 100,0.00,0.214,0.071,0.00,0.014,0.700,70
Client 101,0.348,0.00,0.652,0.00,0.00,0.00,69
Client 102,0.00,0.00,0.00,1.000,0.00,0.00,146
Client 103,0.007,0.00,0.993,0.00,0.00,0.00,151
Client 104,0.00,0.00,0.333,0.333,0.00,0.333,3
Client 105,0.00,0.00,0.500,0.00,0.00,0.500,4
Client 106,0.00,0.00,0.00,0.00,0.00,1.000,6
Client 107,0.00,0.00,0.00,0.00,0.00,1.000,15
Client 108,0.00,0.100,0.200,0.700,0.00,0.00,10
Client 109,0.00,1.000,0.00,0.00,0.00,0.00,159
Client 110,0.00,0.371,0.014,0.614,0.00,0.00,70
Client 111,0.053,0.00,0.00,0.842,0.00,0.105,19
Client 112,0.00,0.00,0.625,0.00,0.125,0.250,8
Client 113,0.00,0.00,0.068,0.932,0.00,0.00,103
Client 114,0.00,0.00,0.294,0.676,0.00,0.029,34
Client 115,0.103,0.00,0.00,0.00,0.897,0.00,136
Client 116,0.00,0.917,0.00,0.00,0.00,0.083,12
Client 117,0.00,0.00,0.00,0.270,0.730,0.00,111
Client 118,0.00,0.013,0.00,0.987,0.00,0.00,79
Client 119,0.068,0.003,0.00,0.00,0.929,0.00,367
Client 120,0.00,0.00,0.00,0.640,0.360,0.00,25
Client 121,0.875,0.00,0.00,0.00,0.00,0.125,8
Client 122,0.667,0.00,0.00,0.00,0.00,0.333,36
Client 123,0.00,0.00,0.615,0.00,0.308,0.077,13
Client 124,0.00,0.00,0.00,0.979,0.021,0.00,48
Client 125,0.034,0.00,0.00,0.00,0.00,0.966,29
Client 126,1.000,0.00,0.00,0.00,0.00,0.00,6
Client 127,0.00,0.00,0.122,0.585,0.293,0.00,41
Client 128,0.061,0.939,0.00,0.00,0.00,0.00,99
Client 129,0.00,0.00,0.451,0.00,0.00,0.549,91
Client 130,0.00,0.114,0.00,0.00,0.057,0.829,35
Client 131,0.00,0.00,0.250,0.00,0.00,0.750,8
Client 132,0.00,0.00,0.00,1.000,0.00,0.00,4
Client 133,0.050,0.050,0.00,0.500,0.00,0.400,20
Client 134,0.00,0.750,0.00,0.00,0.250,0.00,8
Client 135,0.833,0.00,0.00,0.167,0.00,0.00,6
Client 136,0.343,0.00,0.029,0.00,0.171,0.457,35
Client 137,0.00,0.030,0.364,0.00,0.00,0.606,33
Client 138,0.00,0.00,0.00,0.067,0.933,0.00,15
Client 139,0.00,0.00,0.00,1.000,0.00,0.00,11
Client 140,0.00,0.00,0.182,0.727,0.091,0.00,11
Client 141,0.00,0.100,0.900,0.00,0.00,0.00,20
Client 142,1.000,0.00,0.00,0.00,0.00,0.00,103
Client 143,0.00,0.527,0.00,0.00,0.00,0.473,93
Client 144,0.00,0.00,1.000,0.00,0.00,0.00,4
Client 145,0.775,0.00,0.00,0.00,0.225,0.00,40
Client 146,0.800,0.00,0.00,0.200,0.00,0.00,5
Client 147,0.00,1.000,0.00,0.00,0.00,0.00,13
Client 148,0.00,0.00,0.00,0.00,1.000,0.00,51
Client 149,0.040,0.520,0.040,0.200,0.040,0.160,25
Num_samples of Training set per client: [11, 14, 68, 34, 42, 31, 15, 4, 102, 12, 36, 18, 74, 4, 17, 50, 87, 11, 113, 143, 12, 9, 25, 3, 53, 7, 28, 58, 58, 123, 39, 133, 125, 36, 3, 17, 36, 51, 58, 4, 9, 200, 22, 29, 48, 40, 29, 52, 8, 9, 4, 73, 138, 54, 5, 76, 41, 50, 16, 61, 108, 104, 175, 34, 63, 153, 49, 20, 9, 8, 38, 17, 26, 71, 73, 4, 295, 9, 7, 84, 57, 62, 4, 47, 23, 17, 65, 41, 34, 26, 34, 30, 80, 6, 5, 11, 43, 113, 51, 20, 70, 69, 146, 151, 3, 4, 6, 15, 10, 159, 70, 19, 8, 103, 34, 136, 12, 111, 79, 367, 25, 8, 36, 13, 48, 29, 6, 41, 99, 91, 35, 8, 4, 20, 8, 6, 35, 33, 15, 11, 11, 20, 103, 93, 4, 40, 5, 13, 51, 25]
Total_training_samples: 7352
Global test set: 2947
Finish Generating Samples, distribution saved
HARNet(
  (layers): Sequential(
    (0): Sequential(
      (0): Conv2d(1, 64, kernel_size=(3, 1), stride=(3, 1), padding=(1, 1))
      (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
    (1): Sequential(
      (0): Conv2d(64, 128, kernel_size=(6, 1), stride=(2, 1), padding=(1, 1))
      (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
    (2): Sequential(
      (0): Conv2d(128, 256, kernel_size=(6, 1), stride=(2, 1), padding=(1, 1))
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
    (3): Sequential(
      (0): Conv2d(256, 256, kernel_size=(6, 1), stride=(2, 1), padding=(1, 1))
      (1): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU(inplace=True)
    )
  )
  (lin): Linear(in_features=8448, out_features=6, bias=True)
)
####### cuda #######
number of parameters: 691974
clients initializting...
output size: 6
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([14, 1, 128, 3]) torch.Size([14]) torch.Size([2947, 1, 128, 3])
torch.Size([68, 1, 128, 3]) torch.Size([68]) torch.Size([2947, 1, 128, 3])
torch.Size([34, 1, 128, 3]) torch.Size([34]) torch.Size([2947, 1, 128, 3])
torch.Size([42, 1, 128, 3]) torch.Size([42]) torch.Size([2947, 1, 128, 3])
torch.Size([31, 1, 128, 3]) torch.Size([31]) torch.Size([2947, 1, 128, 3])
torch.Size([15, 1, 128, 3]) torch.Size([15]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([102, 1, 128, 3]) torch.Size([102]) torch.Size([2947, 1, 128, 3])
torch.Size([12, 1, 128, 3]) torch.Size([12]) torch.Size([2947, 1, 128, 3])
torch.Size([36, 1, 128, 3]) torch.Size([36]) torch.Size([2947, 1, 128, 3])
torch.Size([18, 1, 128, 3]) torch.Size([18]) torch.Size([2947, 1, 128, 3])
torch.Size([74, 1, 128, 3]) torch.Size([74]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([17, 1, 128, 3]) torch.Size([17]) torch.Size([2947, 1, 128, 3])
torch.Size([50, 1, 128, 3]) torch.Size([50]) torch.Size([2947, 1, 128, 3])
torch.Size([87, 1, 128, 3]) torch.Size([87]) torch.Size([2947, 1, 128, 3])
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([113, 1, 128, 3]) torch.Size([113]) torch.Size([2947, 1, 128, 3])
torch.Size([143, 1, 128, 3]) torch.Size([143]) torch.Size([2947, 1, 128, 3])
torch.Size([12, 1, 128, 3]) torch.Size([12]) torch.Size([2947, 1, 128, 3])
torch.Size([9, 1, 128, 3]) torch.Size([9]) torch.Size([2947, 1, 128, 3])
torch.Size([25, 1, 128, 3]) torch.Size([25]) torch.Size([2947, 1, 128, 3])
torch.Size([3, 1, 128, 3]) torch.Size([3]) torch.Size([2947, 1, 128, 3])
torch.Size([53, 1, 128, 3]) torch.Size([53]) torch.Size([2947, 1, 128, 3])
torch.Size([7, 1, 128, 3]) torch.Size([7]) torch.Size([2947, 1, 128, 3])
torch.Size([28, 1, 128, 3]) torch.Size([28]) torch.Size([2947, 1, 128, 3])
torch.Size([58, 1, 128, 3]) torch.Size([58]) torch.Size([2947, 1, 128, 3])
torch.Size([58, 1, 128, 3]) torch.Size([58]) torch.Size([2947, 1, 128, 3])
torch.Size([123, 1, 128, 3]) torch.Size([123]) torch.Size([2947, 1, 128, 3])
torch.Size([39, 1, 128, 3]) torch.Size([39]) torch.Size([2947, 1, 128, 3])
torch.Size([133, 1, 128, 3]) torch.Size([133]) torch.Size([2947, 1, 128, 3])
torch.Size([125, 1, 128, 3]) torch.Size([125]) torch.Size([2947, 1, 128, 3])
torch.Size([36, 1, 128, 3]) torch.Size([36]) torch.Size([2947, 1, 128, 3])
torch.Size([3, 1, 128, 3]) torch.Size([3]) torch.Size([2947, 1, 128, 3])
torch.Size([17, 1, 128, 3]) torch.Size([17]) torch.Size([2947, 1, 128, 3])
torch.Size([36, 1, 128, 3]) torch.Size([36]) torch.Size([2947, 1, 128, 3])
torch.Size([51, 1, 128, 3]) torch.Size([51]) torch.Size([2947, 1, 128, 3])
torch.Size([58, 1, 128, 3]) torch.Size([58]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([9, 1, 128, 3]) torch.Size([9]) torch.Size([2947, 1, 128, 3])
torch.Size([200, 1, 128, 3]) torch.Size([200]) torch.Size([2947, 1, 128, 3])
torch.Size([22, 1, 128, 3]) torch.Size([22]) torch.Size([2947, 1, 128, 3])
torch.Size([29, 1, 128, 3]) torch.Size([29]) torch.Size([2947, 1, 128, 3])
torch.Size([48, 1, 128, 3]) torch.Size([48]) torch.Size([2947, 1, 128, 3])
torch.Size([40, 1, 128, 3]) torch.Size([40]) torch.Size([2947, 1, 128, 3])
torch.Size([29, 1, 128, 3]) torch.Size([29]) torch.Size([2947, 1, 128, 3])
torch.Size([52, 1, 128, 3]) torch.Size([52]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([9, 1, 128, 3]) torch.Size([9]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([73, 1, 128, 3]) torch.Size([73]) torch.Size([2947, 1, 128, 3])
torch.Size([138, 1, 128, 3]) torch.Size([138]) torch.Size([2947, 1, 128, 3])
torch.Size([54, 1, 128, 3]) torch.Size([54]) torch.Size([2947, 1, 128, 3])
torch.Size([5, 1, 128, 3]) torch.Size([5]) torch.Size([2947, 1, 128, 3])
torch.Size([76, 1, 128, 3]) torch.Size([76]) torch.Size([2947, 1, 128, 3])
torch.Size([41, 1, 128, 3]) torch.Size([41]) torch.Size([2947, 1, 128, 3])
torch.Size([50, 1, 128, 3]) torch.Size([50]) torch.Size([2947, 1, 128, 3])
torch.Size([16, 1, 128, 3]) torch.Size([16]) torch.Size([2947, 1, 128, 3])
torch.Size([61, 1, 128, 3]) torch.Size([61]) torch.Size([2947, 1, 128, 3])
torch.Size([108, 1, 128, 3]) torch.Size([108]) torch.Size([2947, 1, 128, 3])
torch.Size([104, 1, 128, 3]) torch.Size([104]) torch.Size([2947, 1, 128, 3])
torch.Size([175, 1, 128, 3]) torch.Size([175]) torch.Size([2947, 1, 128, 3])
torch.Size([34, 1, 128, 3]) torch.Size([34]) torch.Size([2947, 1, 128, 3])
torch.Size([63, 1, 128, 3]) torch.Size([63]) torch.Size([2947, 1, 128, 3])
torch.Size([153, 1, 128, 3]) torch.Size([153]) torch.Size([2947, 1, 128, 3])
torch.Size([49, 1, 128, 3]) torch.Size([49]) torch.Size([2947, 1, 128, 3])
torch.Size([20, 1, 128, 3]) torch.Size([20]) torch.Size([2947, 1, 128, 3])
torch.Size([9, 1, 128, 3]) torch.Size([9]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([38, 1, 128, 3]) torch.Size([38]) torch.Size([2947, 1, 128, 3])
torch.Size([17, 1, 128, 3]) torch.Size([17]) torch.Size([2947, 1, 128, 3])
torch.Size([26, 1, 128, 3]) torch.Size([26]) torch.Size([2947, 1, 128, 3])
torch.Size([71, 1, 128, 3]) torch.Size([71]) torch.Size([2947, 1, 128, 3])
torch.Size([73, 1, 128, 3]) torch.Size([73]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([295, 1, 128, 3]) torch.Size([295]) torch.Size([2947, 1, 128, 3])
torch.Size([9, 1, 128, 3]) torch.Size([9]) torch.Size([2947, 1, 128, 3])
torch.Size([7, 1, 128, 3]) torch.Size([7]) torch.Size([2947, 1, 128, 3])
torch.Size([84, 1, 128, 3]) torch.Size([84]) torch.Size([2947, 1, 128, 3])
torch.Size([57, 1, 128, 3]) torch.Size([57]) torch.Size([2947, 1, 128, 3])
torch.Size([62, 1, 128, 3]) torch.Size([62]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([47, 1, 128, 3]) torch.Size([47]) torch.Size([2947, 1, 128, 3])
torch.Size([23, 1, 128, 3]) torch.Size([23]) torch.Size([2947, 1, 128, 3])
torch.Size([17, 1, 128, 3]) torch.Size([17]) torch.Size([2947, 1, 128, 3])
torch.Size([65, 1, 128, 3]) torch.Size([65]) torch.Size([2947, 1, 128, 3])
torch.Size([41, 1, 128, 3]) torch.Size([41]) torch.Size([2947, 1, 128, 3])
torch.Size([34, 1, 128, 3]) torch.Size([34]) torch.Size([2947, 1, 128, 3])
torch.Size([26, 1, 128, 3]) torch.Size([26]) torch.Size([2947, 1, 128, 3])
torch.Size([34, 1, 128, 3]) torch.Size([34]) torch.Size([2947, 1, 128, 3])
torch.Size([30, 1, 128, 3]) torch.Size([30]) torch.Size([2947, 1, 128, 3])
torch.Size([80, 1, 128, 3]) torch.Size([80]) torch.Size([2947, 1, 128, 3])
torch.Size([6, 1, 128, 3]) torch.Size([6]) torch.Size([2947, 1, 128, 3])
torch.Size([5, 1, 128, 3]) torch.Size([5]) torch.Size([2947, 1, 128, 3])
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([43, 1, 128, 3]) torch.Size([43]) torch.Size([2947, 1, 128, 3])
torch.Size([113, 1, 128, 3]) torch.Size([113]) torch.Size([2947, 1, 128, 3])
torch.Size([51, 1, 128, 3]) torch.Size([51]) torch.Size([2947, 1, 128, 3])
torch.Size([20, 1, 128, 3]) torch.Size([20]) torch.Size([2947, 1, 128, 3])
torch.Size([70, 1, 128, 3]) torch.Size([70]) torch.Size([2947, 1, 128, 3])
torch.Size([69, 1, 128, 3]) torch.Size([69]) torch.Size([2947, 1, 128, 3])
torch.Size([146, 1, 128, 3]) torch.Size([146]) torch.Size([2947, 1, 128, 3])
torch.Size([151, 1, 128, 3]) torch.Size([151]) torch.Size([2947, 1, 128, 3])
torch.Size([3, 1, 128, 3]) torch.Size([3]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([6, 1, 128, 3]) torch.Size([6]) torch.Size([2947, 1, 128, 3])
torch.Size([15, 1, 128, 3]) torch.Size([15]) torch.Size([2947, 1, 128, 3])
torch.Size([10, 1, 128, 3]) torch.Size([10]) torch.Size([2947, 1, 128, 3])
torch.Size([159, 1, 128, 3]) torch.Size([159]) torch.Size([2947, 1, 128, 3])
torch.Size([70, 1, 128, 3]) torch.Size([70]) torch.Size([2947, 1, 128, 3])
torch.Size([19, 1, 128, 3]) torch.Size([19]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([103, 1, 128, 3]) torch.Size([103]) torch.Size([2947, 1, 128, 3])
torch.Size([34, 1, 128, 3]) torch.Size([34]) torch.Size([2947, 1, 128, 3])
torch.Size([136, 1, 128, 3]) torch.Size([136]) torch.Size([2947, 1, 128, 3])
torch.Size([12, 1, 128, 3]) torch.Size([12]) torch.Size([2947, 1, 128, 3])
torch.Size([111, 1, 128, 3]) torch.Size([111]) torch.Size([2947, 1, 128, 3])
torch.Size([79, 1, 128, 3]) torch.Size([79]) torch.Size([2947, 1, 128, 3])
torch.Size([367, 1, 128, 3]) torch.Size([367]) torch.Size([2947, 1, 128, 3])
torch.Size([25, 1, 128, 3]) torch.Size([25]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([36, 1, 128, 3]) torch.Size([36]) torch.Size([2947, 1, 128, 3])
torch.Size([13, 1, 128, 3]) torch.Size([13]) torch.Size([2947, 1, 128, 3])
torch.Size([48, 1, 128, 3]) torch.Size([48]) torch.Size([2947, 1, 128, 3])
torch.Size([29, 1, 128, 3]) torch.Size([29]) torch.Size([2947, 1, 128, 3])
torch.Size([6, 1, 128, 3]) torch.Size([6]) torch.Size([2947, 1, 128, 3])
torch.Size([41, 1, 128, 3]) torch.Size([41]) torch.Size([2947, 1, 128, 3])
torch.Size([99, 1, 128, 3]) torch.Size([99]) torch.Size([2947, 1, 128, 3])
torch.Size([91, 1, 128, 3]) torch.Size([91]) torch.Size([2947, 1, 128, 3])
torch.Size([35, 1, 128, 3]) torch.Size([35]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([20, 1, 128, 3]) torch.Size([20]) torch.Size([2947, 1, 128, 3])
torch.Size([8, 1, 128, 3]) torch.Size([8]) torch.Size([2947, 1, 128, 3])
torch.Size([6, 1, 128, 3]) torch.Size([6]) torch.Size([2947, 1, 128, 3])
torch.Size([35, 1, 128, 3]) torch.Size([35]) torch.Size([2947, 1, 128, 3])
torch.Size([33, 1, 128, 3]) torch.Size([33]) torch.Size([2947, 1, 128, 3])
torch.Size([15, 1, 128, 3]) torch.Size([15]) torch.Size([2947, 1, 128, 3])
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([11, 1, 128, 3]) torch.Size([11]) torch.Size([2947, 1, 128, 3])
torch.Size([20, 1, 128, 3]) torch.Size([20]) torch.Size([2947, 1, 128, 3])
torch.Size([103, 1, 128, 3]) torch.Size([103]) torch.Size([2947, 1, 128, 3])
torch.Size([93, 1, 128, 3]) torch.Size([93]) torch.Size([2947, 1, 128, 3])
torch.Size([4, 1, 128, 3]) torch.Size([4]) torch.Size([2947, 1, 128, 3])
torch.Size([40, 1, 128, 3]) torch.Size([40]) torch.Size([2947, 1, 128, 3])
torch.Size([5, 1, 128, 3]) torch.Size([5]) torch.Size([2947, 1, 128, 3])
torch.Size([13, 1, 128, 3]) torch.Size([13]) torch.Size([2947, 1, 128, 3])
torch.Size([51, 1, 128, 3]) torch.Size([51]) torch.Size([2947, 1, 128, 3])
torch.Size([25, 1, 128, 3]) torch.Size([25]) torch.Size([2947, 1, 128, 3])
Number of users per round / total users: 15  /  150
Finished creating FL server.
=== Training starts: algorithm FLea ===
-------------Round number:  0  -------------
selected users: [114, 62, 33, 107, 7, 100, 40, 86, 76, 71, 134, 51, 73, 54, 63]
Local adapation with distilling: 0.001
alpha3: 3
training: CE_COR_KL CEloss: tensor(1.0032) KLloss: tensor(1.1388) Decorrelation loss: tensor(2.9524)
decorrelation: tensor([0.9899, 0.9876, 0.9870, 0.9877, 0.9869, 0.9872, 0.9838, 0.9823, 0.9841,
        0.9826, 0.9835, 0.9819, 0.9795, 0.9790, 0.9790])
The last decorrelation: tensor(0.9790)
Local adapation with distilling: 0.001
alpha3: 3
training: CE_COR_KL CEloss: tensor(0.7741) KLloss: tensor(0.9468) Decorrelation loss: tensor(2.8860)
decorrelation: tensor([0.9868, 0.9864, 0.9809, 0.9741, 0.9702, 0.9603, 0.9629, 0.9618, 0.9593,
        0.9326, 0.9592, 0.9536, 0.9462, 0.9453, 0.9504])
